ITEMS Y MESES;;0;1;2;3;4;5;6;7;8;9;10;11;12;TOTAL ANUAL;NOTAS
EGRESOS;;;;;;;;;;;;;;;;
GASTOS INICIALES;DETALLES;VALORES;;;;;;;;;;;;;;
ARRANQUE LABO;EQUIPOS y PRUEBAS;US$ 66.200,00;US$ 74.000,00;;;;;;;;;;;;US$ 140.200,00;
MANTENIMIENTO EMPRESA;CONTADOR;;US$	3.000,00;;;;US$	3.000,00;;;;US$	3.000,00;;;US$	3.000,00;US$	12.000,00;
ASESORAMIENTO NORMATIVO;ISO IRAM ETC;;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	18.000,00;
MARKETING / PACKAGING;WEB/CAJAS/RRSS;;US$	2.000,00;;;US$	1.000,00;;US$	1.000,00;;US$	1.000,00;;US$	1.000,00;;;US$	6.000,00;
GASTOS FRECUENTES;;;;;;;;;;;;;;;;
ALQUILER LAB Y OFICI-S;REPROTEC;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	63.480,00;
SALARIOS;Técnicos + Bioinfo;US$	1.983,75;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	95.220,00;
;Administrativo;US$	1.322,50;US$	1.322,50;US$	1.322,50;US$	1.322,50;US$	1.322,50;US$	1.322,50;US$	2.645,00;US$	2.645,00;US$	2.645,00;US$	2.645,00;US$	2.645,00;US$	2.645,00;US$	2.645,00;US$	25.127,50;
;Socios;US$	2.645,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	95.220,00;
INSUMOS;COSTO;;;;;;;;;;;;;;;
PROMEDIO WGS;US$	750,00;;US$	2.550,00;US$	2.550,00;US$	2.550,00;US$	4.250,00;US$	4.250,00;US$	4.250,00;US$	5.950,00;US$	5.950,00;US$	5.950,00;US$	8.500,00;US$	8.500,00;US$	8.500,00;US$	63.750,00;
ANALISIS;US$	100,00;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
PROMEDIO FAST-PGT;US$	150,15;;US$	12.012,00;US$	13.513,50;US$	18.018,00;US$	18.018,00;US$	18.018,00;US$	18.018,00;US$	18.018,00;US$	22.522,50;US$	22.522,50;US$	22.522,50;US$	22.522,50;US$	22.522,50;US$	228.228,00;
PROMEDIO REG-PGT;US$	103,95;;US$	8.316,00;US$	9.355,50;US$	15.592,50;US$	15.592,50;US$	15.592,50;US$	15.592,50;US$	15.592,50;US$	16.632,00;US$	16.632,00;US$	16.632,00;US$	16.632,00;US$	16.632,00;US$	178.794,00;
NUBE AWS;;US$	400,00;US$	400,00;US$	400,00;US$	400,00;US$	400,00;US$	400,00;US$	400,00;US$	400,00;US$	400,00;US$	400,00;US$	400,00;US$	400,00;US$	400,00;US$	5.200,00;
TOTAL EGRESOS MENSUALES;;US$ 75.196,25;US$ 102.982,50;US$	23.982,50;US$	23.982,50;US$	24.982,50;US$	65.243,00;US$	64.565,50;US$	65.265,50;US$	71.809,50;US$	73.809,50;US$	74.359,50;US$	73.359,50;US$	76.359,50;US$	931.219,50;
 A:;;;;3;;;;;;;;;;;;
INGRESOS;;;;;;;;;;;;;;;;
VENTAS AÑO 3;PRECIO;;;;;;;;;;;;;;;-cidos en el pais
rWGS;US$	5.000,00;;3;3;3;5;5;5;7;7;7;10;10;10;75;0,02 %
TOTAL rWGS;;;US$	15.000,00;US$	15.000,00;US$	15.000,00;US$	25.000,00;US$	25.000,00;US$	25.000,00;US$	35.000,00;US$	35.000,00;US$	35.000,00;US$	50.000,00;US$	50.000,00;US$	50.000,00;US$	375.000,00;
FAST-PGT;US$	363,00;;80;90;120;120;120;120;120;150;150;150;150;150;1520;
REG-PGT;US$	302,50;;80;90;150;150;150;150;150;160;160;160;160;160;1720;
# PGT-TOTALES;;;160;180;270;270;270;270;270;310;310;310;310;310;3.240;
US$ FAST-PGT;;;US$	29.040,00;US$	32.670,00;US$	43.560,00;US$	43.560,00;US$	43.560,00;US$	43.560,00;US$	43.560,00;US$	54.450,00;US$	54.450,00;US$	54.450,00;US$	54.450,00;US$	54.450,00;US$	551.760,00;
US$ REG-PGT;;;US$	24.200,00;US$	27.225,00;US$	45.375,00;US$	45.375,00;US$	45.375,00;US$	45.375,00;US$	45.375,00;US$	48.400,00;US$	48.400,00;US$	48.400,00;US$	48.400,00;US$	48.400,00;US$	520.300,00;
TOTAL PGT;;;US$	53.240,00;US$	59.895,00;US$	88.935,00;US$	88.935,00;US$	88.935,00;US$	88.935,00;US$	88.935,00;US$	102.850,00;US$	102.850,00;US$	102.850,00;US$	102.850,00;US$	102.850,00;US$	1.072.060,00;
TOTAL PGT + YAGUARECITO;;;;;;;;;;;;;;;US$	1.447.060,00;
;;;;;;;;;;;;;;;;
VENTAS - (GASTOS + COSTOS);;;;;;;;;;;;;;;US$	515.840,50;
