ITEMS Y MESES;;0;1;2;3;4;5;6;7;8;9;10;11;12;TOTAL ANUAL;NOTAS
EGRESOS;;;;;;;;;;;;;;;;
GASTOS INICIALES;DETALLES;VALORES;;;;;;;;;;;;;;
ARRANQUE LABO;EQUIPOS;;;;;;;;;;;;;;0;
MANTENIMIENTO EMPRESA;CONTADOR;;US$	3.000,00;;;;US$	3.000,00;;;;US$	3.000,00;;;US$	3.000,00;US$	12.000,00;
ASESORAMIENTO NORMATIVO;ISO IRAM ETC;;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	1.500,00;US$	18.000,00;
MARKETING / PACKAGING;WEB/CAJAS/RRSS;;US$	2.000,00;;;US$	1.000,00;;US$	1.000,00;;US$	1.000,00;;US$	1.000,00;;;US$	6.000,00;
GASTOS FRECUENTES;;;;;;;;;;;;;;;;
ALQUILER LAB Y OFICI-S;REPROTEC;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	5.290,00;US$	63.480,00;
SALARIOS;Técnicos + Bioinfo;US$	1.983,75;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	95.220,00;
;Administrativo;US$	1.322,50;US$	1.322,50;US$	1.322,50;US$	1.322,50;US$	1.322,50;US$	1.322,50;US$	2.645,00;US$	2.645,00;US$	2.645,00;US$	2.645,00;US$	2.645,00;US$	2.645,00;US$	2.645,00;US$	25.127,50;
;Socios;US$	2.645,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	7.935,00;US$	95.220,00;
INSUMOS;COSTO;;;;;;;;;;;;;;;
PROMEDIO FAST-PGT;US$	157,30;;US$	12.584,00;US$	14.157,00;US$	18.876,00;US$	18.876,00;US$	18.876,00;US$	18.876,00;US$	18.876,00;US$	23.595,00;US$	23.595,00;US$	23.595,00;US$	23.595,00;US$	23.595,00;US$	239.096,00;
PROMEDIO REG-PGT;US$	108,90;;US$	8.712,00;US$	9.801,00;US$	16.335,00;US$	16.335,00;US$	16.335,00;US$	16.335,00;US$	16.335,00;US$	17.424,00;US$	17.424,00;US$	17.424,00;US$	17.424,00;US$	17.424,00;US$	187.308,00;
NUBE AWS;;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	200,00;US$	2.600,00;
TOTAL EGRESOS MENSUALES;;US$	8.796,25;US$	28.982,50;US$	23.982,50;US$	23.982,50;US$	24.982,50;US$	62.393,50;US$	61.716,00;US$	60.716,00;US$	67.524,00;US$	69.524,00;US$	67.524,00;US$	66.524,00;US$	69.524,00;US$	744.051,50;
 A:;;;;;;;;;;;;;;;;
INGRESOS;;;;;;;;;;;;;;;;
VENTAS AÑO 3;PRECIO;;;;;;;;;;;;;;;
FAST-PGT;US$	363,00;;80;90;120;120;120;120;120;150;150;150;150;150;1520;
REG-PGT;US$	302,50;;80;90;150;150;150;150;150;160;160;160;160;160;1720;
# PGT-TOTALES;;;160;180;270;270;270;270;270;310;310;310;310;310;3.240;
US$ FAST-PGT;;;US$	29.040,00;US$	32.670,00;US$	43.560,00;US$	43.560,00;US$	43.560,00;US$	43.560,00;US$	43.560,00;US$	54.450,00;US$	54.450,00;US$	54.450,00;US$	54.450,00;US$	54.450,00;US$	551.760,00;
US$ REG-PGT;;;US$	24.200,00;US$	27.225,00;US$	45.375,00;US$	45.375,00;US$	45.375,00;US$	45.375,00;US$	45.375,00;US$	48.400,00;US$	48.400,00;US$	48.400,00;US$	48.400,00;US$	48.400,00;US$	520.300,00;
TOTAL PGT;;;US$	53.240,00;US$	59.895,00;US$	88.935,00;US$	88.935,00;US$	88.935,00;US$	88.935,00;US$	88.935,00;US$	102.850,00;US$	102.850,00;US$	102.850,00;US$	102.850,00;US$	102.850,00;US$	1.072.060,00;
;;;;;;;;;;;;;;;;
VENTAS - (GASTOS + COSTOS);;;;;;;;;;;;;;;US$	328.008,50;
